class,score
n01440764_10026,0.007381439208984375
n01440764_10027,1.33514404296875e-05
n01440764_10029,0.0015773773193359375
n01440764_10040,0.00882720947265625
n01440764_10042,5.533295631408691
n01440764_10043,0.000225067138671875
n01440764_10048,5.7220458984375e-05
n01440764_10066,0.1594390869140625
n01440764_10074,0.0012302398681640625
n01440764_1009,0.23165512084960938
n01440764_10095,5.71558952331543
n01440764_10108,0.0027828216552734375
n01440764_10110,0.000606536865234375
n01440764_10120,0.0001583099365234375
n01440764_10124,0.001613616943359375
n01440764_10150,0.000568389892578125
n01440764_10159,6.103515625e-05
n01440764_10162,0.0070247650146484375
n01440764_10183,0.028438568115234375
n01440764_10194,0.0003223419189453125
n01440764_10211,0.8955039978027344
n01440764_10218,0.0002460479736328125
n01440764_10227,0.016033172607421875
n01440764_1024,1.3911962509155273
n01440764_10251,0.005496978759765625
n01440764_10254,0.0015316009521484375
n01440764_10281,0.000301361083984375
n01440764_10290,0.08030509948730469
n01440764_10293,0.0035343170166015625
n01440764_10307,0.0042438507080078125
n01440764_10317,0.0125579833984375
n01440764_10319,1.068511962890625
n01440764_10320,0.009450912475585938
n01440764_10323,0.0053348541259765625
n01440764_10331,5.302539348602295
n01440764_10342,0.051456451416015625
n01440764_10361,0.023893356323242188
n01440764_10365,0.11976814270019531
n01440764_10373,0.021135330200195312
n01440764_10380,0.04476356506347656
n01440764_10382,4.38690185546875e-05
n01440764_10398,0.00019073486328125
n01440764_10410,0.10555362701416016
n01440764_10427,0.000209808349609375
n01440764_10444,6.866455078125e-05
n01440764_10449,0.017488479614257812
n01440764_10462,0.007701873779296875
n01440764_10464,0.0016155242919921875
n01440764_10470,0.014471054077148438
n01440764_10482,0.2178497314453125
n01440764_10491,0.013423919677734375
n01440764_105,0.01035308837890625
n01440764_10514,0.0020904541015625
n01440764_10529,0.000614166259765625
n01440764_10531,0.0002689361572265625
n01440764_10534,0.0005168914794921875
n01440764_10542,0.025327682495117188
n01440764_10543,0.004749298095703125
n01440764_10548,0.0038318634033203125
n01440764_10550,0.11736679077148438
n01440764_10555,0.07091617584228516
n01440764_10569,0.2264118194580078
n01440764_10587,0.00072479248046875
n01440764_10592,1.5568361282348633
n01440764_10604,0.2139606475830078
n01440764_10619,0.0001201629638671875
n01440764_1063,0.0057659149169921875
n01440764_10649,0.09875297546386719
n01440764_10667,0.0001010894775390625
n01440764_10698,0.33817386627197266
n01440764_107,0.0045490264892578125
n01440764_10716,0.018491744995117188
n01440764_10726,6.4849853515625e-05
n01440764_10733,0.14896869659423828
n01440764_10738,0.5849266052246094
n01440764_10740,0.00225067138671875
n01440764_10744,7.116281509399414
n01440764_10756,0.0009765625
n01440764_10779,0.000823974609375
n01440764_10783,0.01354217529296875
n01440764_10787,0.00372314453125
n01440764_10792,3.814697265625e-05
n01440764_10812,0.10103797912597656
n01440764_10822,0.007656097412109375
n01440764_10845,0.17428207397460938
n01440764_10847,0.0619354248046875
n01440764_10852,0.0026111602783203125
n01440764_10878,5.7220458984375e-06
n01440764_1091,0.13054656982421875
n01440764_10910,0.09250450134277344
n01440764_10969,0.008617401123046875
n01440764_10979,0.029046058654785156
n01440764_10995,0.013166427612304688
n01440764_11011,3.814697265625e-06
n01440764_11018,0.18381881713867188
n01440764_11044,0.004802703857421875
n01440764_11063,0.041934967041015625
n01440764_1108,0.00090789794921875
n01440764_11085,0.079833984375
n01440764_1113,9.5367431640625e-06
n01440764_11145,0.0013580322265625
n01440764_11151,0.003795623779296875
n01440764_11155,4.76837158203125e-05
n01440764_11170,0.03253746032714844
n01440764_11190,0.06215381622314453
n01440764_11211,1.9073486328125e-05
n01440764_11213,0.0002384185791015625
n01440764_11225,0.007427215576171875
n01440764_11281,0.018526077270507812
n01440764_11314,0.00476837158203125
n01440764_11331,0.005397796630859375
n01440764_11335,0.09323692321777344
n01440764_11339,0.10563468933105469
n01440764_11346,0.08571720123291016
