class,score
n01531178_1006,0.000876161968336
n01531178_10080,0.000200370734092
n01531178_10090,0.000902960193343
n01531178_1012,0.293198019266129
n01531178_10178,0.126650184392929
n01531178_10224,8.27278272481635E-05
n01531178_10241,0.000218010027311
n01531178_10261,0.00755938468501
n01531178_10263,0.016240211203694
n01531178_10271,0.0012535341084
n01531178_10306,7.98699056758778E-06
n01531178_1043,0.001444964203984
n01531178_10443,0
n01531178_10450,0.484509915113449
n01531178_10484,0.000291781761916
n01531178_10553,0.000831734854728
n01531178_10565,3.83846527256537E-05
n01531178_10581,3.45706348525709E-06
n01531178_1059,0.000793857092503
n01531178_10609,0.00305471685715
n01531178_10630,0.010020191781223
n01531178_10633,0.001445083296858
n01531178_10634,0.252727746963501
n01531178_10679,8.64230023580603E-05
n01531178_10690,0.053575519472361
n01531178_10738,0.14628766477108
n01531178_10742,0.016285600140691
n01531178_10755,1.56162950588623E-05
n01531178_10798,0.43400764465332
n01531178_108,0.021653663367033
n01531178_10828,0.047538887709379
n01531178_10838,0.208073139190674
n01531178_10849,0.001115415012464
n01531178_10855,0.003444217145443
n01531178_10860,0.023293431848288
n01531178_10874,0.000154125737026
n01531178_10882,6.55648955216748E-06
n01531178_1090,0.428600341081619
n01531178_10905,1.77620258909883E-05
n01531178_10919,0.029616873711348
n01531178_10920,4.36296468251385E-05
n01531178_10923,0.00301038636826
n01531178_10937,0.000213600229472
n01531178_10962,0.026212079450488
n01531178_11006,0.126014873385429
n01531178_11023,0.006405655294657
n01531178_11071,0.000663060636725
n01531178_11081,0.985141038894653
n01531178_11124,3.44508916896302E-05
n01531178_11160,0.047991666942835
n01531178_11168,0.028160965070129
n01531178_11181,0.049249820411205
n01531178_11260,0.001040036906488
n01531178_11270,0.013323324732483
n01531178_11290,0.015674248337746
n01531178_11311,0.385268896818161
n01531178_11317,0.000763005926274
n01531178_11325,5.96044674239238E-06
n01531178_11345,0.001915764412843
n01531178_1140,0.007004586048424
n01531178_11416,0.000423103454523
n01531178_11423,0.001185548608191
n01531178_11451,0.000385567720514
n01531178_11521,3.36164557666052E-05
n01531178_11524,0.005439599510282
n01531178_11576,0.005747103597969
n01531178_11623,0.001814149320126
n01531178_11630,0.035118121653795
n01531178_11634,1.16780841350555
n01531178_11645,0.000872588832863
n01531178_11665,0.002587425289676
n01531178_1175,0.016270119696856
n01531178_11758,0.00603377725929
n01531178_11777,0.002390862209722
n01531178_1178,0.082325212657452
n01531178_11794,0.000637566437945
n01531178_11803,3.88614716939628E-05
n01531178_11807,0.003157275496051
n01531178_11815,0.005512275733054
n01531178_11819,0.000969178567175
n01531178_11916,0.162047281861305
n01531178_1194,0.000471719104098
n01531178_11972,0.000204661409953
n01531178_11976,5.36440347786993E-06
