class,score
n01530575_10007,0.001255035400390625
n01530575_10017,-0.0
n01530575_10018,0.0003032684326171875
n01530575_10021,0.031978607177734375
n01530575_10022,0.00040435791015625
n01530575_10023,4.9591064453125e-05
n01530575_10024,0.00079345703125
n01530575_10027,0.0001277923583984375
n01530575_10029,2.6702880859375e-05
n01530575_10031,0.06907463073730469
n01530575_10039,1.8362045288085938
n01530575_10040,-0.0
n01530575_10042,0.0021076202392578125
n01530575_10047,1.1562671661376953
n01530575_10048,3.814697265625e-06
n01530575_10050,0.011501312255859375
n01530575_10052,7.62939453125e-06
n01530575_10058,0.12543296813964844
n01530575_10060,3.814697265625e-06
n01530575_10064,0.0170135498046875
n01530575_10068,1.1444091796875e-05
n01530575_10069,0.0005931854248046875
n01530575_10073,0.06862258911132812
n01530575_10076,7.2479248046875e-05
n01530575_10078,0.00096893310546875
n01530575_1008,5.285292625427246
n01530575_10084,0.0012054443359375
n01530575_10085,0.0002689361572265625
n01530575_10086,0.03373527526855469
n01530575_10087,-0.0
n01530575_10091,0.00566864013671875
n01530575_10092,7.62939453125e-06
n01530575_10093,0.0017185211181640625
n01530575_10094,0.05908393859863281
n01530575_10096,-0.0
n01530575_10101,-0.0
n01530575_10102,0.000274658203125
n01530575_10109,7.62939453125e-06
n01530575_10110,3.814697265625e-05
n01530575_10116,0.001255035400390625
n01530575_10119,0.000568389892578125
n01530575_10120,0.009035110473632812
n01530575_10121,0.015140533447265625
n01530575_10124,0.0001850128173828125
n01530575_10125,0.00331878662109375
n01530575_10128,0.0253753662109375
n01530575_10129,0.00067138671875
n01530575_10136,0.003993988037109375
n01530575_10137,0.0846405029296875
n01530575_10138,0.0009975433349609375
n01530575_10146,0.17818832397460938
n01530575_10154,0.0001220703125
n01530575_10159,0.17282485961914062
n01530575_10161,0.0010395050048828125
n01530575_10163,0.013469696044921875
n01530575_10169,0.0002307891845703125
n01530575_10171,0.055660247802734375
n01530575_10172,-0.0
n01530575_10174,0.02154541015625
n01530575_10179,0.0001888275146484375
n01530575_10180,2.86102294921875e-05
n01530575_10184,0.0016021728515625
n01530575_10187,-0.0
n01530575_10188,-0.0
n01530575_10190,-0.0
n01530575_10192,1.023122787475586
n01530575_10193,-0.0
n01530575_10195,1.9073486328125e-05
n01530575_10196,0.007007598876953125
n01530575_10199,2.2649316787719727
n01530575_102,7.2479248046875e-05
n01530575_10201,0.0015811920166015625
n01530575_10202,0.0001316070556640625
n01530575_10204,0.1356201171875
n01530575_10207,0.0001239776611328125
n01530575_10208,3.0517578125e-05
n01530575_1021,-0.0
n01530575_10210,1.52587890625e-05
n01530575_10212,7.2479248046875e-05
n01530575_10214,0.00018310546875
n01530575_10217,3.814697265625e-06
n01530575_10218,1.52587890625e-05
n01530575_10220,0.020998001098632812
n01530575_10221,0.0041255950927734375
n01530575_10223,4.9591064453125e-05
n01530575_10224,7.62939453125e-06
n01530575_10227,2.0672826766967773
n01530575_10228,0.00070953369140625
n01530575_10229,-0.0
n01530575_1023,1.1655426025390625
n01530575_10232,0.0024051666259765625
n01530575_10233,0.3943328857421875
n01530575_10235,3.6644115447998047
n01530575_10236,-0.0
n01530575_10238,0.001495361328125
n01530575_10241,0.0003871917724609375
n01530575_10247,0.036441802978515625
n01530575_10252,3.814697265625e-06
n01530575_10259,0.1940631866455078
n01530575_10263,4.00543212890625e-05
n01530575_10264,0.10401153564453125
n01530575_1027,1.350921630859375
n01530575_10270,0.015899658203125
n01530575_10275,0.09164237976074219
n01530575_10276,3.0517578125e-05
n01530575_10284,0.0004901885986328125
n01530575_10285,0.004459381103515625
n01530575_10287,0.013807296752929688
n01530575_10289,5.340576171875e-05
n01530575_10290,0.4159526824951172
n01530575_10291,8.58306884765625e-05
n01530575_10292,10.35158920288086
n01530575_10297,0.00171661376953125
n01530575_10303,0.005336761474609375
n01530575_10305,-0.0
n01530575_10313,0.0026836395263671875
n01530575_10315,0.4451713562011719
n01530575_10318,0.000644683837890625
n01530575_10323,0.0004596710205078125
n01530575_10324,0.08472633361816406
n01530575_10325,0.528289794921875
n01530575_10326,1.4493751525878906
n01530575_10329,4.00543212890625e-05
n01530575_10332,-0.0
n01530575_10333,0.06846237182617188
n01530575_10334,1.52587890625e-05
n01530575_10335,1.1444091796875e-05
n01530575_10336,0.0001201629638671875
n01530575_10337,7.62939453125e-06
n01530575_10338,0.018115997314453125
n01530575_10341,-0.0
n01530575_10346,0.0051212310791015625
n01530575_10347,0.07468986511230469
n01530575_10351,0.020107269287109375
n01530575_10354,0.009342193603515625
n01530575_10358,4.07012939453125
n01530575_10363,2.4660377502441406
n01530575_10365,0.001987457275390625
n01530575_10367,4.57763671875e-05
n01530575_10369,0.0018978118896484375
n01530575_10371,1.9073486328125e-05
