class,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)"
n01531178_1006,3.86370086669922,2.66522455215454,2.79070997238159,4.41760635375977,4.90084457397461,3.36249780654907,1.81858158111572,1.17425155639648,4.36727094650269,4.95487499237061,2.75200319290161,0.830719947814941,0.423583030700684,2.45859098434448,4.99511909484863,3.09501361846924,1.08476257324219,1.47715091705322,3.04954671859741,4.68377208709717,3.02021551132202,1.2989387512207,1.87027454376221,4.03571367263794,5.24186897277832
n01531178_10080,0.751626014709473,2.73569822311401,3.45282793045044,3.38872814178467,4.16660881042481,0.868772506713867,2.53507566452026,1.53324317932129,4.1334810256958,3.56855630874634,0.196425437927246,1.28101921081543,0.876008033752441,2.66238594055176,3.03094291687012,0.294657707214356,0.393500328063965,1.39960765838623,1.75716114044189,1.5290002822876,0.654215812683106,0.617968559265137,0.86732292175293,0.633082389831543,1.10202693939209
n01531178_10090,6.13922119140625,6.19249773025513,6.80410814285278,7.12532043457031,6.60692977905273,5.85129404067993,4.65304803848267,3.67886447906494,7.09201240539551,7.02458095550537,6.50092697143555,5.11288356781006,3.36020183563232,5.68396520614624,6.97984647750855,7.02497482299805,6.26885843276978,6.61349010467529,6.64231824874878,6.89736461639404,6.80898380279541,8.14770889282227,7.25872755050659,6.17367696762085,6.48191499710083
n01531178_1012,8.94071388244629,7.39652824401856,9.90372467041016,10.8093242645264,10.1555414199829,6.50642824172974,6.28801012039185,8.20906352996826,8.95996189117432,8.82531356811523,5.60373497009277,5.49441623687744,6.08422803878784,6.52957677841187,7.70052528381348,7.77646684646606,5.65931415557861,6.82127618789673,6.92274141311646,8.51169013977051,8.57669067382813,6.87198066711426,5.8172082901001,4.7522759437561,9.122145652771
n01531178_10178,5.11349248886108,3.58285760879517,2.17388153076172,4.47465705871582,5.97096490859985,4.0487265586853,2.31632232666016,1.97243213653564,2.86894035339355,5.75781679153442,4.23623418807983,3.98469543457031,5.71408653259277,3.03214740753174,5.21914720535278,3.63323259353638,3.57025337219238,5.77003240585327,5.30642175674439,5.70863723754883,5.37450313568115,4.58182287216187,4.45538425445557,3.85483837127686,5.62724876403809
n01531178_10224,5.0011510848999,2.4814133644104,1.74181652069092,3.65748691558838,7.21879386901856,3.6970362663269,0.317264556884766,0.186060905456543,3.02073335647583,7.01186609268189,2.81811857223511,0.778087615966797,0.690600395202637,7.5120964050293,6.604172706604,2.73708868026733,0.113250732421875,3.77599477767944,6.64196062088013,7.80470323562622,3.49548292160034,2.74957513809204,4.13165092468262,5.9266209602356,5.96711730957031
n01531178_10241,5.50533580780029,5.1045708656311,5.5523533821106,5.46270418167114,5.99334621429443,0.759617805480957,0.065461158752441,2.12507247924805,4.25321435928345,5.54243850708008,0.743898391723633,0.003391265869141,0.341556549072266,1.81627655029297,5.06719160079956,3.47468757629395,0.794050216674805,0.295928001403809,1.17376899719238,3.44777536392212,4.21158266067505,3.36850547790527,2.56653785705566,2.98913288116455,4.37955331802368
n01531178_10261,4.42764091491699,0.932451248168945,0.610733032226563,2.20453023910522,3.82116985321045,0.593524932861328,0.019620895385742,0.067497253417969,0.308089256286621,2.49317979812622,0.25059700012207,0.138891220092773,0.599498748779297,0.675019264221191,1.58637237548828,3.05623388290405,0.553478240966797,0.819477081298828,1.56487274169922,2.54132652282715,3.95333242416382,3.23059415817261,3.28045606613159,3.6236081123352,3.86131715774536
n01531178_10263,5.32637214660645,4.02693605422974,3.55912303924561,3.73436594009399,5.13992977142334,3.53466749191284,0.906293869018555,1.34193420410156,3.24910068511963,5.67447710037231,2.57247638702393,0.612326622009277,1.2149658203125,3.79635429382324,5.38350248336792,3.86243391036987,3.72756481170654,2.69746875762939,0.483798027038574,3.80699014663696,5.27604675292969,3.98749399185181,2.89847469329834,3.65372562408447,6.27316427230835
n01531178_10271,3.70897054672241,3.13658571243286,3.12044668197632,2.77764177322388,3.08830547332764,2.50000429153442,0.752399444580078,0.1036376953125,1.12510871887207,2.25406122207642,1.59608364105225,0.01223087310791,0.013913154602051,0.024454116821289,0.733247756958008,2.15812063217163,0.062024116516113,0.036495208740234,0.180357933044434,0.53188419342041,3.17535352706909,2.33852338790894,1.22738456726074,1.74359130859375,1.85051727294922
